,accuracy,train_seed,n_gen,n_ep,n_steps,reward
3385,0.8,56,37,760,608000,53.21214552579448
3386,0.8,56,38,780,624000,30.466132933042427
3387,0.8,56,39,800,640000,44.2337021264049
3388,0.8,56,40,820,656000,22.5197526470535
3389,0.8,56,41,840,672000,-24.71640593717438
3390,0.8,56,42,860,688000,21.697782063313173
3391,0.8,56,43,880,704000,49.47035310246624
3392,0.8,56,44,900,720000,-14.57618913270722
3393,0.8,56,45,920,736000,47.867210692748266
3394,0.8,56,46,940,752000,51.03511056957202
3395,0.8,56,47,960,768000,8.182543455575757
3396,0.8,56,48,980,784000,2.387574349417807
3397,0.8,56,49,1000,800000,-16.84815417560394
3398,0.8,56,50,1020,816000,51.80798219742074
3399,0.8,56,51,1040,832000,88.19861389313772
3400,0.8,56,52,1060,848000,1.9185326009328207
3401,0.8,56,53,1080,864000,-3.690669700782912
3402,0.8,56,54,1100,880000,-0.3260761295021373
3403,0.8,56,55,1120,896000,45.94597562078988
3404,0.8,56,56,1140,912000,30.219650599852848
3405,0.8,56,57,1160,928000,56.21708279352579
3406,0.8,56,58,1180,944000,36.30957402318474
3407,0.8,56,59,1200,960000,48.57362374383119
3408,0.8,56,60,1220,976000,-59.8637777791747
3409,0.8,56,61,1240,992000,21.217323265352896
3410,0.8,57,0,20,16000,-11.519919635553387
3411,0.8,57,1,40,32000,24.64652639610293
3412,0.8,57,2,60,48000,11.89457097814137
3413,0.8,57,3,80,64000,-11.99635866920633
3414,0.8,57,4,100,80000,10.209480328407436
3415,0.8,57,5,120,96000,-13.453483929649916
3416,0.8,57,6,140,112000,22.89334156536684
3417,0.8,57,7,160,128000,-22.047875453803474
3418,0.8,57,8,180,144000,-0.0871048909255666
3419,0.8,57,9,200,160000,0.0008607003105634
3420,0.8,57,10,220,176000,-16.09474453446562
3421,0.8,57,11,240,192000,-29.508541657001835
3422,0.8,57,12,260,208000,12.738660038411965
3423,0.8,57,13,280,224000,-31.76746411136908
3424,0.8,57,14,300,240000,29.31106372861955
3425,0.8,57,15,320,256000,17.163430098510766
3426,0.8,57,16,340,272000,12.065389004853678
3427,0.8,57,17,360,288000,7.937693919146815
3428,0.8,57,18,380,304000,9.6142289481817
3429,0.8,57,19,400,320000,22.62627313253848
3430,0.8,57,20,420,336000,121.47440005917136
3431,0.8,57,21,440,352000,22.77430617899561
3432,0.8,57,22,460,368000,59.03685584960662
3433,0.8,57,23,480,384000,88.32216601272292
3434,0.8,57,24,500,400000,-19.958815716708926
3435,0.8,57,25,520,416000,206.7682632837335
3436,0.8,57,26,540,432000,138.20489484213735
3437,0.8,57,27,560,448000,52.818236063798096
3438,0.8,57,28,580,464000,184.5526609496596
3439,0.8,57,29,600,480000,126.66665434853157
3440,0.8,57,30,620,496000,-27.46752436993699
3441,0.8,57,31,640,512000,246.0611811940545
3442,0.8,57,32,660,528000,194.88383140795892
3443,0.8,57,33,680,544000,14.708945068494833
3444,0.8,57,34,700,560000,182.2743759272429
3445,0.8,57,35,720,576000,250.7491577186338
3446,0.8,57,36,740,592000,106.15008983401842
3447,0.8,57,37,760,608000,184.3421386783812
3448,0.8,57,38,780,624000,132.68753999131522
3449,0.8,57,39,800,640000,260.20910916061763
3450,0.8,57,40,820,656000,103.79579941116272
3451,0.8,57,41,840,672000,147.13686654406487
3452,0.8,57,42,860,688000,216.8501970878336
3453,0.8,57,43,880,704000,138.17791668800686
3454,0.8,57,44,900,720000,38.07684535331138
3455,0.8,57,45,920,736000,258.8572149138178
3456,0.8,57,46,940,752000,9.272816902559908
3457,0.8,57,47,960,768000,239.11533343379747
3458,0.8,57,48,980,784000,141.7213530908964
3459,0.8,57,49,1000,800000,132.06343743021583
3460,0.8,57,50,1020,816000,341.2299910560042
3461,0.8,57,51,1040,832000,-46.65396050921265
3462,0.8,57,52,1060,848000,211.59475081319607
